grid,county,state,place,gradient
30148.0,Anoka,MN,"Anoka County, MN",2793.0
30149.0,Washington,MN,"Washington County, MN",2812.0
29835.0,Lac qui Parle,MN,"Lac qui Parle County, MN",2680.0
29836.0,Lac qui Parle,MN,"Lac qui Parle County, MN",2700.0
29837.0,Lac qui Parle,MN,"Lac qui Parle County, MN",2720.0
29838.0,Chippewa,MN,"Chippewa County, MN",2740.0
29839.0,Renville,MN,"Renville County, MN",2760.0
29840.0,Renville,MN,"Renville County, MN",2780.0
29841.0,Renville,MN,"Renville County, MN",2800.0
29842.0,Renville,MN,"Renville County, MN",2820.0
29843.0,McLeod,MN,"McLeod County, MN",2840.0
29844.0,McLeod,MN,"McLeod County, MN",2860.0
29845.0,Carver,MN,"Carver County, MN",2880.0
29846.0,Carver,MN,"Carver County, MN",2900.0
29847.0,Hennepin,MN,"Hennepin County, MN",2920.0
29848.0,Dakota,MN,"Dakota County, MN",2940.0
29849.0,Washington,MN,"Washington County, MN",2960.0
29535.0,Lincoln,MN,"Lincoln County, MN",2814.0
29536.0,Lincoln,MN,"Lincoln County, MN",2835.0
29537.0,Lyon,MN,"Lyon County, MN",2856.0
29538.0,Lyon,MN,"Lyon County, MN",2877.0
29539.0,Yellow Medicine,MN,"Yellow Medicine County, MN",2898.0
29540.0,Renville,MN,"Renville County, MN",2919.0
29541.0,Renville,MN,"Renville County, MN",2940.0
29542.0,Sibley,MN,"Sibley County, MN",2961.0
29543.0,Sibley,MN,"Sibley County, MN",2982.0
29544.0,Sibley,MN,"Sibley County, MN",3003.0
29545.0,Sibley,MN,"Sibley County, MN",3024.0
29546.0,Scott,MN,"Scott County, MN",3045.0
29547.0,Scott,MN,"Scott County, MN",3066.0
29548.0,Dakota,MN,"Dakota County, MN",3087.0
29549.0,Dakota,MN,"Dakota County, MN",3108.0
29550.0,Goodhue,MN,"Goodhue County, MN",3129.0
29235.0,Lincoln,MN,"Lincoln County, MN",2948.0
29236.0,Lincoln,MN,"Lincoln County, MN",2970.0
29237.0,Lyon,MN,"Lyon County, MN",2992.0
29238.0,Lyon,MN,"Lyon County, MN",3014.0
29239.0,Redwood,MN,"Redwood County, MN",3036.0
29240.0,Redwood,MN,"Redwood County, MN",3058.0
29241.0,Redwood,MN,"Redwood County, MN",3080.0
29242.0,Brown,MN,"Brown County, MN",3102.0
29243.0,Nicollet,MN,"Nicollet County, MN",3124.0
29244.0,Nicollet,MN,"Nicollet County, MN",3146.0
29245.0,Le Sueur,MN,"Le Sueur County, MN",3168.0
29246.0,Le Sueur,MN,"Le Sueur County, MN",3190.0
29247.0,Rice,MN,"Rice County, MN",3212.0
29248.0,Rice,MN,"Rice County, MN",3234.0
29249.0,Goodhue,MN,"Goodhue County, MN",3256.0
29250.0,Goodhue,MN,"Goodhue County, MN",3278.0
29251.0,Wabasha,MN,"Wabasha County, MN",3300.0
29252.0,Wabasha,MN,"Wabasha County, MN",3322.0
28935.0,Pipestone,MN,"Pipestone County, MN",3082.0
28936.0,Pipestone,MN,"Pipestone County, MN",3105.0
28937.0,Murray,MN,"Murray County, MN",3128.0
28938.0,Murray,MN,"Murray County, MN",3151.0
28939.0,Cottonwood,MN,"Cottonwood County, MN",3174.0
28940.0,Cottonwood,MN,"Cottonwood County, MN",3197.0
28941.0,Brown,MN,"Brown County, MN",3220.0
28942.0,Brown,MN,"Brown County, MN",3243.0
28943.0,Brown,MN,"Brown County, MN",3266.0
28944.0,Blue Earth,MN,"Blue Earth County, MN",3289.0
28945.0,Blue Earth,MN,"Blue Earth County, MN",3312.0
28946.0,Waseca,MN,"Waseca County, MN",3335.0
28947.0,Steele,MN,"Steele County, MN",3358.0
28948.0,Steele,MN,"Steele County, MN",3381.0
28949.0,Dodge,MN,"Dodge County, MN",3404.0
28950.0,Olmsted,MN,"Olmsted County, MN",3427.0
28951.0,Olmsted,MN,"Olmsted County, MN",3450.0
28952.0,Wabasha,MN,"Wabasha County, MN",3473.0
28953.0,Winona,MN,"Winona County, MN",3496.0
28635.0,Pipestone,MN,"Pipestone County, MN",3216.0
28636.0,Pipestone,MN,"Pipestone County, MN",3240.0
28637.0,Murray,MN,"Murray County, MN",3264.0
28638.0,Murray,MN,"Murray County, MN",3288.0
28639.0,Cottonwood,MN,"Cottonwood County, MN",3312.0
28640.0,Cottonwood,MN,"Cottonwood County, MN",3336.0
