grid,statefp,county,state
32442.0,53.0,Grant,WA
32443.0,53.0,Grant,WA
32444.0,53.0,Grant,WA
32445.0,53.0,Adams,WA
32446.0,53.0,Adams,WA
32447.0,53.0,Adams,WA
32448.0,53.0,Adams,WA
32449.0,53.0,Whitman,WA
32450.0,53.0,Whitman,WA
32451.0,53.0,Whitman,WA
32452.0,53.0,Whitman,WA
32125.0,53.0,Grays Harbor,WA
32126.0,53.0,Grays Harbor,WA
32127.0,53.0,Grays Harbor,WA
32128.0,53.0,Thurston,WA
32129.0,53.0,Thurston,WA
32130.0,53.0,Thurston,WA
32131.0,53.0,Pierce,WA
32132.0,53.0,Pierce,WA
32133.0,53.0,Pierce,WA
32134.0,53.0,Pierce,WA
32135.0,53.0,Yakima,WA
32136.0,53.0,Yakima,WA
32137.0,53.0,Yakima,WA
32138.0,53.0,Kittitas,WA
32139.0,53.0,Kittitas,WA
32140.0,53.0,Kittitas,WA
32141.0,53.0,Grant,WA
32142.0,53.0,Grant,WA
32143.0,53.0,Grant,WA
32144.0,53.0,Adams,WA
32145.0,53.0,Adams,WA
32146.0,53.0,Adams,WA
32147.0,53.0,Adams,WA
32148.0,53.0,Adams,WA
32149.0,53.0,Whitman,WA
32150.0,53.0,Whitman,WA
32151.0,53.0,Whitman,WA
32152.0,53.0,Whitman,WA
31825.0,53.0,Pacific,WA
31826.0,53.0,Pacific,WA
31827.0,53.0,Pacific,WA
31828.0,53.0,Lewis,WA
31829.0,53.0,Lewis,WA
31830.0,53.0,Lewis,WA
31831.0,53.0,Lewis,WA
31832.0,53.0,Lewis,WA
31833.0,53.0,Lewis,WA
31834.0,53.0,Lewis,WA
31835.0,53.0,Yakima,WA
31836.0,53.0,Yakima,WA
31837.0,53.0,Yakima,WA
31838.0,53.0,Yakima,WA
31839.0,53.0,Yakima,WA
31840.0,53.0,Yakima,WA
31841.0,53.0,Yakima,WA
31842.0,53.0,Benton,WA
31843.0,53.0,Franklin,WA
31844.0,53.0,Franklin,WA
31845.0,53.0,Franklin,WA
31846.0,53.0,Franklin,WA
31847.0,53.0,Franklin,WA
31848.0,53.0,Whitman,WA
31849.0,53.0,Whitman,WA
31850.0,53.0,Garfield,WA
31851.0,53.0,Whitman,WA
31852.0,53.0,Whitman,WA
31525.0,53.0,Pacific,WA
31526.0,53.0,Wahkiakum,WA
31527.0,53.0,Wahkiakum,WA
31528.0,53.0,Cowlitz,WA
31529.0,53.0,Cowlitz,WA
31530.0,53.0,Cowlitz,WA
31531.0,53.0,Cowlitz,WA
31532.0,53.0,Skamania,WA
31533.0,53.0,Skamania,WA
31534.0,53.0,Skamania,WA
31535.0,53.0,Yakima,WA
31536.0,53.0,Yakima,WA
31537.0,53.0,Yakima,WA
31538.0,53.0,Yakima,WA
31539.0,53.0,Yakima,WA
31540.0,53.0,Yakima,WA
31541.0,53.0,Yakima,WA
31542.0,53.0,Benton,WA
31543.0,53.0,Benton,WA
31544.0,53.0,Franklin,WA
31545.0,53.0,Franklin,WA
31546.0,53.0,Walla Walla,WA
31547.0,53.0,Walla Walla,WA
31548.0,53.0,Columbia,WA
31549.0,53.0,Columbia,WA
31550.0,53.0,Garfield,WA
31551.0,53.0,Asotin,WA
31552.0,53.0,Asotin,WA
31229.0,53.0,Cowlitz,WA
31230.0,53.0,Cowlitz,WA
31231.0,53.0,Cowlitz,WA
31232.0,53.0,Skamania,WA
31233.0,53.0,Skamania,WA
31234.0,53.0,Skamania,WA
31235.0,53.0,Yakima,WA
31236.0,53.0,Yakima,WA
31237.0,53.0,Yakima,WA
31238.0,53.0,Yakima,WA
31239.0,53.0,Yakima,WA
31240.0,53.0,Yakima,WA
31241.0,53.0,Yakima,WA
31242.0,53.0,Benton,WA
31243.0,53.0,Benton,WA
31244.0,53.0,Benton,WA
31245.0,53.0,Walla Walla,WA
31246.0,53.0,Walla Walla,WA
31247.0,53.0,Walla Walla,WA
31248.0,53.0,Walla Walla,WA
31249.0,53.0,Columbia,WA
31250.0,53.0,Columbia,WA
31251.0,53.0,Asotin,WA
31252.0,53.0,Asotin,WA
30930.0,53.0,Clark,WA
30931.0,53.0,Clark,WA
30932.0,53.0,Skamania,WA
30933.0,53.0,Skamania,WA
30934.0,53.0,Skamania,WA
30935.0,53.0,Klickitat,WA
30936.0,53.0,Klickitat,WA
30937.0,53.0,Klickitat,WA
30938.0,53.0,Klickitat,WA
30939.0,53.0,Klickitat,WA
30940.0,53.0,Klickitat,WA
30941.0,53.0,Klickitat,WA
30630.0,53.0,Clark,WA
30631.0,53.0,Clark,WA
30632.0,53.0,Skamania,WA
30636.0,53.0,Klickitat,WA
34553.0,16.0,Boundary,ID
34554.0,16.0,Boundary,ID
34555.0,16.0,Boundary,ID
34556.0,16.0,Boundary,ID
34253.0,16.0,Bonner,ID
34254.0,16.0,Boundary,ID
34255.0,16.0,Boundary,ID
34256.0,16.0,Boundary,ID
33953.0,16.0,Bonner,ID
33954.0,16.0,Bonner,ID
33955.0,16.0,Bonner,ID
33956.0,16.0,Bonner,ID
33653.0,16.0,Bonner,ID
33654.0,16.0,Bonner,ID
33655.0,16.0,Bonner,ID
33656.0,16.0,Bonner,ID
33353.0,16.0,Kootenai,ID
33354.0,16.0,Kootenai,ID
33355.0,16.0,Kootenai,ID
33356.0,16.0,Shoshone,ID
33053.0,16.0,Kootenai,ID
33054.0,16.0,Kootenai,ID
33055.0,16.0,Kootenai,ID
33056.0,16.0,Shoshone,ID
33057.0,16.0,Shoshone,ID
32753.0,16.0,Kootenai,ID
32754.0,16.0,Benewah,ID
32755.0,16.0,Benewah,ID
32756.0,16.0,Shoshone,ID
32757.0,16.0,Shoshone,ID
32758.0,16.0,Shoshone,ID
32453.0,16.0,Benewah,ID
32454.0,16.0,Benewah,ID
32455.0,16.0,Benewah,ID
32456.0,16.0,Shoshone,ID
32457.0,16.0,Shoshone,ID
32458.0,16.0,Shoshone,ID
32459.0,16.0,Shoshone,ID
32153.0,16.0,Latah,ID
32154.0,16.0,Latah,ID
32155.0,16.0,Latah,ID
